brand,market,currency,reference,product_family,price,band,bag_type_group,size_group,material_class,signature_class,source
Louis Vuitton,FR,EUR,M2A099,Speedy,2400,Access / lower,top_handle,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M29976,OnTheGo,2900,Access / lower,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M28613,Marelle,2890,Access / lower,shoulder,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M47031,Hang On,2850,Access / lower,tote,compact,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M28953,Squire,2470,Access / lower,top_handle,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M28951,Squire,2860,Access / lower,top_handle,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M46784,High Rise,2020,Access / lower,other,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M28426,Madeleine,2170,Access / lower,crossbody,compact,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M46990,Alma,2000,Access / lower,top_handle,standard,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M46987,Neverfull,2240,Access / lower,tote,large,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M29099,Multipass,2230,Access / lower,crossbody,compact,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M2A840,Multipass,2480,Access / lower,crossbody,compact,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M3A389,Multipass,2480,Access / lower,crossbody,compact,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M3A247,Multipass,2480,Access / lower,crossbody,compact,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M2A078,Multipass,2850,Access / lower,shoulder,standard,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M2A038,Speedy,4150,Core,top_handle,standard,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M29537,Frivole,2210,Access / lower,crossbody,compact,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M83008,Liv,1950,Access / lower,shoulder,compact,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M46049,Diane,2700,Access / lower,shoulder,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M46203,CarryAll,2940,Access / lower,tote,large,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M11945,Speedy,3550,Access / lower,top_handle,large,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,US,USD,M45832,Boulogne,2700,Access / lower,shoulder,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H086559CC55,Plume,5650,Premium core,top_handle,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H084948CP0G,En Piste,5300,Premium core,flap_or_clutch,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H085003CK55,Mini Médor,4650,Core,shoulder,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H084847CK4D,Petite Course,4150,Core,crossbody,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H088002CKAH,Médor Clous,8150,High,shoulder,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H088503CKAB,Balusoie,2170,Access / lower,shoulder,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H088004CC7U,Jypsière,6850,Premium core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H085741CK89,Néo Médor,9100,High,flap_or_clutch,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H084337CKAE,Victoria,5750,Premium core,tote,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H071205CK89,Roulis,7150,High,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H086915CK1C,Poche Cliquetis,5600,Premium core,shoulder,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H084658CKI8,Della Cavalleria Élan,5900,Premium core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H086915CKI8,Poche Cliquetis,5600,Premium core,shoulder,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H086707CAAG,Néo Double Sens,4050,Core,tote,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H085668CKAB,P'tit Arçon,3950,Core,crossbody,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H087026CCQ0,Petit Tour,8900,High,tote,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H085367CPQ0,Della Cavalleria mini II,5400,Premium core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H085408CKAW,Geta,5300,Premium core,shoulder,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H088914CK89,Videpoches,3800,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,FR,EUR,H084151CKAC,Videpoches,3300,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H086583CKAC,Tablier Sellier,5850,Core,top_handle,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H087987CK10,Videpoches,3975,Access / lower,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H084658CK55,Della Cavalleria Elan,8550,High,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H087987CKH0,Videpoches,3975,Access / lower,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H086717CKAC,Neo Garden Voyage,5450,Core,tote,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H088914CKP0,Videpoches,5500,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H086717CKAH,Neo Garden Voyage,5450,Core,tote,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H088914CK37,Videpoches,5500,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H088914CK18,Videpoches,5500,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H084151CKAC,Videpoches,4750,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H083591CK7K,Hac a Dos,13200,Exceptional / icon,backpack,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H087119CKAD,Jypsière,9350,High,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H085961CKAB,Horseback,6850,Premium core,crossbody,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H087128CKAC,Silkycity,3075,Access / lower,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H086394CKAC,P'tit Arçon,5550,Core,crossbody,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H084489CKAC,Herbag,4550,Core,shoulder,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H078401CK37,Kelly depeches,11100,Exceptional / icon,flap_or_clutch,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H084623CKAF,Herbag,4550,Core,shoulder,large,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H085408CKAW,Geta,7650,Premium core,shoulder,standard,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Hermès,US,USD,H088914CK89,Videpoches,5500,Core,crossbody,compact,leather,unknown,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
