source_id,brand,source_type,source_name,source_url,archive_url,source_effective_date,accessed_at,primary_or_secondary,source_quality,notes
SRC-CH-C04-BAGAHOLIC-2024,Chanel,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 rectangular mini.
SRC-CH-C04-CURRENT-FR,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A69900Y0405994305/mini-sac-classique-agneau-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C04-CURRENT-US,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A69900Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CURRENT-CHANEL-FR-A01112_B24048_94305-7ab2a88e5d,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B2404894305/sac-classique-11-12-agneau-email-strass-metal-argente-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B24526_UA091-1ec4e77c1e,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B24526UA091/sac-classique-11-12-jersey-brode-broderies-fleurs-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B24872_UA957-e7d7d28b24,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B24872UA957/sac-classique-11-12-tweed-de-coton-et-de-laine-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B25087_UB640-ff287614cd,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B25087UB640/sac-classique-11-12-denim-brode-perles-de-verres-strass-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B25176_UC191-0d1a492253,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B25176UC191/sac-classique-11-12-crepe-de-laine-brodee-raphia-perles-de-verre-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B25720_UB663-7cd78669e1,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B25720UB663/sac-classique-11-12-veau-graine-brillant-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B25747_94305-4f9a4a7240,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B2574794305/sac-classique-11-12-agneau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_B25879_UC671-d8746dff47,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112B25879UC671/sac-classique-11-12-tweed-de-coton-et-de-laine-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01112_Y04059_U8390-a3f29bfe86,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01112Y04059U8390/sac-classique-11-12-agneau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A01113_Y01864_C3906-b0891e3902,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A01113Y01864C3906/petit-sac-classique-veau-graine-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A35200_Y04059_94305-22ffdb123d,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A35200Y0405994305/mini-sac-classique-agneau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-A69900_Y04059_94305-10a68dd783,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/A69900Y0405994305/mini-sac-classique-agneau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6199_B25388_94305-a9fac304cc,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6199B2538894305/mini-cabas-veau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6199_B25749_UD595-6679f7b97c,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6199B25749UD595/mini-cabas-toile-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6211_B25711_UB662-f79c553131,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6211B25711UB662/grand-sac-bowling-veau-metal-argente/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6224_B24988_UA104-91b3500335,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6224B24988UA104/petit-cabas-veau-graine-agneau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6475_B25599_UD180-0e37c299b2,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6475B25599UD180/cabas-veau-velours-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6495_B25347_UA954-28d87924e2,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6495B25347UA954/petit-cabas-agneau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6580_B24074_U9390-9be43a91ff,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6580B24074U9390/grand-sac-bowling-veau-velours-veau-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-FR-AS6590_B25996_U9390-a3ea83c33c,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/fr/mode/p/AS6590B25996U9390/cabas-veau-velours-metal-dore/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B24048_94305-324cc7e282,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B2404894305/classic-11-12-handbag-lambskin-enamel-strass-silver-tone-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B24526_UA091-be7bd25cd8,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B24526UA091/classic-11-12-handbag-embroidered-jersey-flowers-embroideries-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B24872_UA957-9c7b162e18,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B24872UA957/classic-11-12-handbag-cotton-wool-tweed-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B25087_UB640-982169af52,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B25087UB640/classic-11-12-handbag-embroidered-denim-glass-beads-strass-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B25176_UC191-36757b090f,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B25176UC191/classic-11-12-handbag-embroidered-wool-crepe-raffia-glass-beads-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B25720_UB663-46b89ffc64,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B25720UB663/classic-11-12-handbag-grained-shiny-calfskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B25747_94305-11383097bb,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B2574794305/classic-11-12-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_B25879_UC671-8c0a26fb02,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112B25879UC671/classic-11-12-handbag-cotton-wool-tweed-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01112_Y04059_U8390-d3be957cd9,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01112Y04059U8390/classic-11-12-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A01113_Y01864_C3906-ec56687efd,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A01113Y01864C3906/small-classic-handbag-grained-calfskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A35200_Y04059_94305-fb4044e021,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A35200Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-A69900_Y04059_94305-f1b8eb67a1,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/A69900Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6199_B25388_94305-a4e0c0a64a,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6199B2538894305/mini-shopping-bag-calfskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6199_B25749_UD595-ac9b0f174d,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6199B25749UD595/mini-shopping-bag-canvas-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6200_B25749_UD596-ba6992cbef,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6200B25749UD596/small-shopping-bag-canvas-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6211_B25711_UB662-da0e0b27c8,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6211B25711UB662/large-bowling-bag-calfskin-silver-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6224_B24988_UA104-7d8cefaf36,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6224B24988UA104/small-shopping-bag-grained-calfskin-lambskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6475_B25599_UD180-e28d5b8948,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6475B25599UD180/shopping-bag-suede-calfskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6495_B25347_UA954-3e4cec1ee4,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6495B25347UA954/small-shopping-bag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6580_B24074_U9390-48a811f051,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6580B24074U9390/large-bowling-bag-suede-calfskin-calfskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-CHANEL-US-AS6590_B25996_U9390-6fa79928eb,Chanel,official_current_product_page,chanel_fr_us_handbags_current/clean_data.csv,https://www.chanel.com/us/fashion/p/AS6590B25996U9390/shopping-bag-suede-calfskin-gold-tone-metal/,,2026-08-15,2026-08-15T19:20:31+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M0457CUQW_M900-dfb622dff7,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M0457CUQW_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M0715OUQO_M900-b9096487b1,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M0715OUQO_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1324OWHP_M51U-02725ca70f,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1324OWHP_M51U,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1325OWHP_M900-c963d46ec1,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1325OWHP_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1354OEUB_M918-033dae1fbe,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1354OEUB_M918,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1388OEJP_M19I-21733197da,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1388OEJP_M19I,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1388OEJP_M918-e742dd6322,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1388OEJP_M918,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1409OHSU_M09I-0ddec38dfb,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1409OHSU_M09I,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1409OTZQ_M928-14753260f8,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1409OTZQ_M928,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1410OHST_M911-3e2f3e3e67,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1410OHST_M911,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1410OHST_M912-0d67f13bd5,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1410OHST_M912,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1411OHJW_M911-7ea005f1ae,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1411OHJW_M911,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1412PHJX_M79G-f23703d1bf,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1412PHJX_M79G,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M1532QTZQ_M928-56cfd5c4dd,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M1532QTZQ_M928,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M2822OSNW_M900-a03104d02a,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M2822OSNW_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M2836OSNW_M900-688c4f903e,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M2836OSNW_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M2867ODKZ_M900-7565d2a467,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M2867ODKZ_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M2867PDUN_M18S-ea335846ad,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M2867PDUN_M18S,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M3919QDWP_M900-17e9691b9f,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M3919QDWP_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-FR-M3920QDWP_M98H-0f2e28d914,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/fr_fr/fashion/products/M3920QDWP_M98H,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-US-M0457CUQW_M900-9a8a78b5fd,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/en_us/fashion/products/M0457CUQW_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
SRC-CURRENT-DIOR-US-M0715OUQO_M900-f420eccb96,Dior,official_current_product_page,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv,https://www.dior.com/en_us/fashion/products/M0715OUQO_M900,,2026-08-15,2026-08-15T20:20:39+08:00,primary,HIGH,Preserved supplied official localized snapshot; not refreshed during R1.
