source_id,brand,product_lineage_id,source_type,source_name,original_url,archive_url,source_date,accessed_at,primary_or_secondary,source_quality,notes
SRC-LV-L02-LUXEFRONT-2022,Louis Vuitton,LV-L02,historical_secondary_table,Luxe Front Louis Vuitton price list,https://luxefront.com/2022/12/13/louis-vuitton-bag-price-list-complete-guide-usd-eur/,,2022-12-13,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Speedy Bandouliere 20 empreinte 2022/2023 table.
SRC-LV-L03-BAGAHOLIC-2021,Louis Vuitton,LV-L03,historical_secondary_table,Bagaholic Louis Vuitton price increase January 2021,https://lvbagaholic.com/blogs/lv_bagaholic/louis-vuitton-increases-prices-worldwide-in-january-2021,,2021,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Alma BB canvas old/new 2021 prices in EUR and USD.
SRC-LV-L03-LUXEFRONT-2022,Louis Vuitton,LV-L03,historical_secondary_table,Luxe Front Louis Vuitton price list,https://luxefront.com/2022/12/13/louis-vuitton-bag-price-list-complete-guide-usd-eur/,,2022-12-13,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Alma BB canvas 2022/2023 table.
SRC-LV-L03-PURSEBOP-2024,Louis Vuitton,LV-L03,historical_secondary_table,PurseBop Louis Vuitton global price increase 2024,https://www.pursebop.com/louis-vuitton-global-price-increase-2024/,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Alma BB 2024 table.
SRC-LV-L04-BAGAHOLIC-2021,Louis Vuitton,LV-L04,historical_secondary_table,Bagaholic Louis Vuitton price increase January 2021,https://lvbagaholic.com/blogs/lv_bagaholic/louis-vuitton-increases-prices-worldwide-in-january-2021,,2021,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Neverfull MM old/new 2021 prices in EUR and USD.
SRC-LV-L04-LUXEFRONT-2022,Louis Vuitton,LV-L04,historical_secondary_table,Luxe Front Louis Vuitton price list,https://luxefront.com/2022/12/13/louis-vuitton-bag-price-list-complete-guide-usd-eur/,,2022-12-13,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Neverfull MM canvas 2022/2023 table.
SRC-LV-L04-PETITEINPARIS-2023,Louis Vuitton,LV-L04,historical_secondary_table,Petite in Paris Neverfull price guide,https://petiteinparis.com/is-the-louis-vuitton-neverfull-worth-the-price/,,2023,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Neverfull MM Monogram 2023 price in US and Europe.
SRC-DI-D01-PURSEBOP-2020,Dior,DI-D01,historical_secondary_table,PurseBop Dior price increase 2020,https://www.pursebop.com/dior-follows-louis-vuitton-and-chanel-with-price-increases/,,2020-07-09,2026-08-16T17:58:39+08:00,secondary,MEDIUM,2019/2020 US Oblique Saddle table; used as version context only.
SRC-DI-D01-FIFTHAVENUE-2023,Dior,DI-D01,historical_secondary_table,Fifth Avenue Girl Dior price increase July 2023,https://fifthavenuegirl.com/dior-price-increase-july-2023/,,2023-07-09,2026-08-16T17:58:39+08:00,secondary,MEDIUM,US Dior Saddle Bag 2022/July 2023 prices; source does not state size/material.
SRC-DI-D02-BAGAHOLIC-2024,Dior,DI-D02,historical_secondary_table,Bagaholic Dior Book Tote reference guide 2024,https://lvbagaholic.com/blogs/lv_bagaholic/dior-book-tote-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Small Book Tote Oblique Canvas price and dimensions.
SRC-DI-D03-PURSEBOP-2020,Dior,DI-D03,historical_secondary_table,PurseBop Dior price increase 2020,https://www.pursebop.com/dior-follows-louis-vuitton-and-chanel-with-price-increases/,,2020-07-09,2026-08-16T17:58:39+08:00,secondary,MEDIUM,2019/2020 US Oblique Book Tote table.
SRC-DI-D03-FIFTHAVENUE-2023,Dior,DI-D03,historical_secondary_table,Fifth Avenue Girl Dior price increase July 2023,https://fifthavenuegirl.com/dior-price-increase-july-2023/,,2023-07-09,2026-08-16T17:58:39+08:00,secondary,MEDIUM,US Medium Book Tote old/new July 2023 prices.
SRC-DI-D03-BAGAHOLIC-2024,Dior,DI-D03,historical_secondary_table,Bagaholic Dior Book Tote reference guide 2024,https://lvbagaholic.com/blogs/lv_bagaholic/dior-book-tote-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Medium Book Tote Oblique Canvas price and dimensions.
SRC-CH-C01-CURRENT-FR,Chanel,CH-C01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A01112Y04059U8390/sac-classique-11-12-agneau-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C01-CURRENT-US,Chanel,CH-C01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A01112Y04059U8390/classic-11-12-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C02-CURRENT-FR,Chanel,CH-C02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A01113Y01864C3906/petit-sac-classique-veau-graine-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C02-CURRENT-US,Chanel,CH-C02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A01113Y01864C3906/small-classic-handbag-grained-calfskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C03-CURRENT-FR,Chanel,CH-C03,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A35200Y0405994305/mini-sac-classique-agneau-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C03-CURRENT-US,Chanel,CH-C03,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A35200Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C04-CURRENT-FR,Chanel,CH-C04,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A69900Y0405994305/mini-sac-classique-agneau-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C04-CURRENT-US,Chanel,CH-C04,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A69900Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-HM-H01-CURRENT-FR,Hermès,HM-H01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.hermes.com/fr/fr/product/sac-hermes-geta-H085408CKAW/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-HM-H01-CURRENT-US,Hermès,HM-H01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.hermes.com/us/en/product/hermes-geta-bag-H085408CKAW/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-HM-H02-CURRENT-FR,Hermès,HM-H02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.hermes.com/fr/fr/product/sac-jypsiere-mini-H088004CC7U/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-HM-H02-CURRENT-US,Hermès,HM-H02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.hermes.com/us/en/product/jypsiere-mini-toile-and-cuir-bag-H087119CKAD/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-LV-L01-CURRENT-FR,Louis Vuitton,LV-L01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://fr.louisvuitton.com/fra-fr/produits/sac-speedy-soft-25-lv-crafty-autres-toiles-monogram-nvprod7890058v/M2A038,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-LV-L01-CURRENT-US,Louis Vuitton,LV-L01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-25-autres-toiles-monogram-nvprod7890058v/M2A038,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-LV-L02-CURRENT-FR,Louis Vuitton,LV-L02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://fr.louisvuitton.com/fra-fr/produits/sac-speedy-bandouliere-20-monogram-empreinte-nvprod7890054v/M2A099,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-LV-L03-CURRENT-FR,Louis Vuitton,LV-L03,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://fr.louisvuitton.com/fra-fr/produits/alma-bb-other-leathers-nvprod7890071v/M3A842,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-LV-L03-CURRENT-US,Louis Vuitton,LV-L03,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-nvprod5190086v/M46990,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-LV-L04-CURRENT-US,Louis Vuitton,LV-L04,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://us.louisvuitton.com/eng-us/products/neverfull-mm-monogram-nvprod5350101v/M46987,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-DI-D01-CURRENT-FR,Dior,DI-D01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.dior.com/fr_fr/fashion/products/M0457CUQW_M900,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-DI-D01-CURRENT-US,Dior,DI-D01,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.dior.com/en_us/fashion/products/M0457CUQW_M900,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-DI-D02-CURRENT-FR,Dior,DI-D02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.dior.com/fr_fr/fashion/products/M1325OWHP_M900,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-DI-D02-CURRENT-US,Dior,DI-D02,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.dior.com/en_us/fashion/products/M1325OWHP_M900,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-DI-D03-CURRENT-FR,Dior,DI-D03,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.dior.com/fr_fr/fashion/products/M1324OWHP_M51U,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-DI-D03-CURRENT-US,Dior,DI-D03,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.dior.com/en_us/fashion/products/M1324OWHP_M51U,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
