product_id,brand,family,model,size_label,use_tag,bag_type,canonical_reference,material_raw,material_group,color,dimensions_cm,regular_special,collection_label,availability_status,identity_status,source_url_fr,source_url_us,notes
HM-US-H086915CK89,Hermès,Poche Cliquetis,Poche Cliquetis bag,unknown,crossbody,crossbody,H086915CK89,Swift calfskin,leather,Black,22.6 x 25.4 x 2.5 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/poche-cliquetis-bag-H086915CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H085690CKBF,Hermès,In-the-Loop,Hermès In-the-Loop 18 bag,18,shoulder,shoulder,H085690CKBF,H canvas and Swift calfskin,mixed_textile_leather,Beige/Natural,18 x 19.6 x 11.9 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/hermes-in-the-loop-18-bag-H085690CKBF/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087950CK89,Hermès,Medor,Mini Medor bag,mini,evening/mini,mini,H087950CK89,Chamkila goatskin,leather,Red,14.5 x 15 x 14.5 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/mini-medor-bag-H087950CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086717CKAC,Hermès,Neo Garden,Neo Garden Voyage 41 bag,41,tote/shopper,tote,H086717CKAC,Militaire canvas and Negonda calfskin,mixed_textile_leather,Black,41.4 x 30.5 x 23.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAC/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H082901CCCA,Hermès,Bolide,Bolide 1923 - 25 verso bag,25,top-handle,top-handle,H082901CCCA,Evercolor calfskin,leather,Beige/Natural,25.9 x 20.1 x 9.9 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/bolide-1923-25-verso-bag-H082901CCCA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H089099CAAA,Hermès,Neo Double Sens,Neo Double Sens 35 bicolor bag,35,tote/shopper,tote,H089099CAAA,taurillon Clemence leather and Swift calfskin,leather,Blue,27.9 x 35.1 x 9.4 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/neo-double-sens-35-bicolor-bag-H089099CAAA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087987CK89,Hermès,Videpoches,Hermès Videpoches bag,unknown,crossbody,crossbody,H087987CK89,Togo calfskin,leather,Purple,26.9 x 14 x 4.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/hermes-videpoches-bag-H087987CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087934CKAA,Hermès,Neo Garden,Neo Garden Voyage 41 bredies bag,41,tote/shopper,tote,H087934CKAA,"Militaire canvas, Togo, Negonda and Swift calfskin",mixed_textile_leather,Blue,41.4 x 30.5 x 23.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bredies-bag-H087934CKAA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087987CKH0,Hermès,Videpoches,Hermès Videpoches bag,unknown,crossbody,crossbody,H087987CKH0,Togo calfskin,leather,Grey,26.9 x 14 x 4.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/hermes-videpoches-bag-H087987CKH0/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086717CKAH,Hermès,Neo Garden,Neo Garden Voyage 41 bag,41,tote/shopper,tote,H086717CKAH,Militaire canvas and Negonda calfskin,mixed_textile_leather,Blue,41.4 x 30.5 x 23.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAH/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H084948CK89,Hermès,En Piste,En Piste clutch,unknown,evening/mini,clutch,H084948CK89,Chamkila goatskin,leather,Black,14 x 13 x 5.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/en-piste-clutch-H084948CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
LV-US-M27242,Louis Vuitton,Wallet On Chain Trotter,Wallet On Chain Trotter,small,small-leather-goods,small-leather-goods,M27242,Monogram coated canvas,textile,,21.6 x 12.4 x 3 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/wallet-on-chain-trotter-monogram-nvprod7960004v/M27242,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M13567,Louis Vuitton,Pochette Eva,Pochette Eva,small,small-leather-goods,small-leather-goods,M13567,Monogram coated canvas,textile,,26.9 x 10.9 x 5.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/pochette-eva-monogram-nvprod6380091v/M13567,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M82766,Louis Vuitton,Pochette Accessoires,Pochette Accessoires,small,small-leather-goods,small-leather-goods,M82766,Monogram coated canvas,textile,,23.6 x 13.5 x 4.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/pochette-accessoires-monogram-nvprod4710018v/M82766,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M81896,Louis Vuitton,Pochette Félicie,Pochette Félicie,small,small-leather-goods,small-leather-goods,M81896,Monogram coated canvas,textile,,21.1 x 11.9 x 3 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/felicie-pochette-monogram-nvprod4400082v/M81896,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A366,Louis Vuitton,All In,All In BB,BB,shoulder,shoulder,M2A366,Calf leather,leather,,16 x 18 x 11.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/low-key-all-in-bb-h31-nvprod6520136v/M2A366,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A467,Louis Vuitton,Neverfull,Neverfull Inside Out BB,BB,tote/shopper,tote,M2A467,Cowhide leather,leather,,26.4 x 16.5 x 10.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/neverfull-bandouliere-inside-out-bb-h33-nvprod5770174v/M2A467,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A323,Louis Vuitton,Low Key,Hobo,PM,shoulder,hobo,M2A323,Calf leather,leather,,23.9 x 27.9 x 16 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M28354,Louis Vuitton,Neverfull,Neverfull Inside Out MM,MM,tote/shopper,tote,M28354,Cowhide leather,leather,,47 x 27.9 x 14 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/neverfull-inside-out-mm-h33-nvprod5770173v/M28354,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A711,Louis Vuitton,CarryAll,Nano CarryAll,nano,evening/mini,mini,M2A711,Monogram coated canvas,textile,,16 x 15 x 9.4 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/nano-carryall-monogram-nvprod7890133v/M2A711,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46203,Louis Vuitton,CarryAll,CarryAll PM,PM,tote/shopper,tote,M46203,Monogram coated canvas,textile,,29 x 23.9 x 11.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M45832,Louis Vuitton,Boulogne,Boulogne PM,PM,shoulder,shoulder,M45832,Monogram coated canvas,textile,,25.9 x 16 x 9.4 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/boulogne-pm-monogram-nvprod2900152v/M45832,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46049,Louis Vuitton,Diane,Diane,unknown,shoulder,shoulder,M46049,Monogram coated canvas,textile,,23.9 x 15 x 8.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/diane-monogram-nvprod3400009v/M46049,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A126,Louis Vuitton,Alma,Alma BB,BB,top-handle,top-handle,M2A126,Monogram Empreinte Leather,leather,,23.6 x 17.5 x 11.4 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-empreinte-nvprod6890001v/M2A126,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M29977,Louis Vuitton,Speedy,Speedy Bandoulière 20,20,top-handle,top-handle,M29977,Monogram Empreinte Leather,leather,,20.6 x 13.5 x 11.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-20-nvprod3160023v/M29977,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A335,Louis Vuitton,Diane,Diane,unknown,shoulder,shoulder,M2A335,Embossed cowhide leather,leather,,23.9 x 15 x 8.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/diane-monogram-empreinte-nvprod6150009v/M2A335,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A011,Louis Vuitton,Madeleine,Nano Madeleine,nano,evening/mini,mini,M2A011,Cowhide leather,leather,,21.1 x 12.4 x 6.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/nano-madeleine-monogram-empreinte-nvprod5890028v/M2A011,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46990,Louis Vuitton,Alma,Alma BB,BB,top-handle,top-handle,M46990,Monogram coated canvas,textile,,23.6 x 17.5 x 11.4 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-nvprod5190086v/M46990,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46784,Louis Vuitton,High Rise,High Rise,unknown,crossbody,bumbag,M46784,Monogram coated canvas,textile,,34.5 x 16 x 7.6 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/high-rise-monogram-nvprod4690067v/M46784,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46987,Louis Vuitton,Neverfull,Neverfull MM,MM,tote/shopper,tote,M46987,Monogram coated canvas,textile,,47 x 27.9 x 14 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/neverfull-mm-monogram-nvprod5350101v/M46987,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M13039,Louis Vuitton,Speedy,Speedy Bandoulière 20,20,top-handle,top-handle,M13039,Monogram coated canvas,textile,,20.6 x 13.5 x 11.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-20-monogram-nvprod6150004v/M13039,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
DI-US-M1409OHST_M911,Dior,Dior Promenade,Medium Dior Promenade Shopping Bag,medium,tote/shopper,tote,M1409OHST_M911,Calfskin,leather,Black,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1409OHST_M911,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OHST_M911,Dior,Dior Promenade,Small Dior Promenade Shopping Bag,small,tote/shopper,tote,M1410OHST_M911,Calfskin,leather,Black,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1410OHST_M911,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OHSU_M12E,Dior,Dior Promenade,Small Dior Promenade Shopping Bag,small,tote/shopper,tote,M1410OHSU_M12E,Suede calfskin,leather,Marron Bobby,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1410OHSU_M12E,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410PHSU_M57G,Dior,Dior Promenade,Small Dior Promenade Shopping Bag,small,tote/shopper,tote,M1410PHSU_M57G,Suede calfskin,leather,Gris Pietro,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1410PHSU_M57G,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1409OHST_M16E,Dior,Dior Promenade,Medium Dior Promenade Shopping Bag,medium,tote/shopper,tote,M1409OHST_M16E,Calfskin,leather,Glove,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1409OHST_M16E,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1409OTZQ_M928,Dior,Dior Promenade,Medium Dior Promenade Shopping Bag,medium,tote/shopper,tote,M1409OTZQ_M928,"Cotton, calfskin and technical fabric",mixed_textile_leather,Blue Dior Oblique,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1409OTZQ_M928,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OTZQ_M928,Dior,Dior Promenade,Small Dior Promenade Shopping Bag,small,tote/shopper,tote,M1410OTZQ_M928,"Cotton, calfskin and technical fabric",mixed_textile_leather,Blue Dior Oblique,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1410OTZQ_M928,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OHSV_M71I,Dior,Dior Promenade,Small Dior Promenade Shopping Bag,small,tote/shopper,tote,M1410OHSV_M71I,"Wool, virgin wool, calfskin, cotton and technical fabric",mixed_textile_leather,Plum Dior Oblique Donegal Tweed,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M1410OHSV_M71I,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M42R,Dior,Dior Toujours,Small Dior Toujours Hobo Bag,small,shoulder,hobo,M2867ODKZ_M42R,Lambskin,leather,Deep Amaranth,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M42R,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M900,Dior,Dior Toujours,Small Dior Toujours Hobo Bag,small,shoulder,hobo,M2867ODKZ_M900,Lambskin,leather,Black,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M900,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODUN_M68M,Dior,Dior Toujours,Small Dior Toujours Hobo Bag,small,shoulder,hobo,M2867ODUN_M68M,Suede goatskin and calfskin,leather,Marron Bobby,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2867ODUN_M68M,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M01S,Dior,Dior Toujours,Small Dior Toujours Hobo Bag,small,shoulder,hobo,M2867ODKZ_M01S,Lambskin,leather,Soupir Green,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M01S,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M31N,Dior,Dior Toujours,Small Dior Toujours Hobo Bag,small,shoulder,hobo,M2867ODKZ_M31N,Lambskin,leather,Ballet Pink,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M31N,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M39Z,Dior,Dior Toujours,Small Dior Toujours Hobo Bag,small,shoulder,hobo,M2867ODKZ_M39Z,Lambskin,leather,Ice Blue,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M39Z,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2835OSNW_M05S,Dior,Dior Toujours,Small Dior Toujours Vertical Tote Bag,small,tote/shopper,tote,M2835OSNW_M05S,Calfskin,leather,Evergreen,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2835OSNW_M05S,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2835OSNW_M79U,Dior,Dior Toujours,Small Dior Toujours Vertical Tote Bag,small,tote/shopper,tote,M2835OSNW_M79U,Calfskin,leather,Craie,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2835OSNW_M79U,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2821OSNW_M73M,Dior,Dior Toujours,Medium Dior Toujours Bag,medium,tote/shopper,tote,M2821OSNW_M73M,Calfskin,leather,Glove,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2821OSNW_M73M,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2820OHJS_M42R,Dior,Dior Toujours,Large Dior Toujours Bag,large,tote/shopper,tote,M2820OHJS_M42R,Calfskin,leather,Deep Amaranth,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2820OHJS_M42R,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2821OSNW_M66M,Dior,Dior Toujours,Medium Dior Toujours Bag,medium,tote/shopper,tote,M2821OSNW_M66M,Calfskin,leather,Chocolate,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2821OSNW_M66M,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2821OSOQ_M22S,Dior,Dior Toujours,Medium Dior Toujours Bag,medium,tote/shopper,tote,M2821OSOQ_M22S,Suede goatskin and calfskin,leather,Polar Tree,,not_disclosed,,available_online,verified_official_reference_material_size_label,,https://www.dior.com/en_us/fashion/products/M2821OSOQ_M22S,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
