product_id,brand,market_scope,snapshot_id,canonical_reference,family,model,use_tag,bag_type,size_label,material_group,regular_special,dimension_status,scope_status,isolation_reason,pairing_readiness,source_url_us,notes
HM-US-H071240C0AV,Hermès,US,refresh_2026-09-07_us,H071240C0AV,Jige Elan,Jige Elan 29 clutch,evening/mini,clutch,29,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/jige-elan-29-clutch-H071240C0AV/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087960CT89,Hermès,US,refresh_2026-09-07_us,H087960CT89,Mallette,Mallette bag,top-handle,top-handle,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/mallette-bag-H087960CT89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086962CK0G,Hermès,US,refresh_2026-09-07_us,H086962CK0G,Sanglons,Sanglons clutch,evening/mini,clutch,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/sanglons-clutch-H086962CK0G/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086915CK89,Hermès,US,refresh_2026-09-07_us,H086915CK89,Poche Cliquetis,Poche Cliquetis bag,crossbody,crossbody,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/poche-cliquetis-bag-H086915CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H085690CKBF,Hermès,US,refresh_2026-09-07_us,H085690CKBF,In-the-Loop,Hermès In-the-Loop 18 bag,shoulder,shoulder,18,mixed_textile_leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/hermes-in-the-loop-18-bag-H085690CKBF/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087950CK89,Hermès,US,refresh_2026-09-07_us,H087950CK89,Medor,Mini Medor bag,evening/mini,mini,mini,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/mini-medor-bag-H087950CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086717CKAC,Hermès,US,refresh_2026-09-07_us,H086717CKAC,Neo Garden,Neo Garden Voyage 41 bag,tote/shopper,tote,41,mixed_textile_leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAC/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H082901CCCA,Hermès,US,refresh_2026-09-07_us,H082901CCCA,Bolide,Bolide 1923 - 25 verso bag,top-handle,top-handle,25,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/bolide-1923-25-verso-bag-H082901CCCA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H089099CAAA,Hermès,US,refresh_2026-09-07_us,H089099CAAA,Neo Double Sens,Neo Double Sens 35 bicolor bag,tote/shopper,tote,35,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/neo-double-sens-35-bicolor-bag-H089099CAAA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087987CK89,Hermès,US,refresh_2026-09-07_us,H087987CK89,Videpoches,Hermès Videpoches bag,crossbody,crossbody,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/hermes-videpoches-bag-H087987CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087934CKAA,Hermès,US,refresh_2026-09-07_us,H087934CKAA,Neo Garden,Neo Garden Voyage 41 bredies bag,tote/shopper,tote,41,mixed_textile_leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bredies-bag-H087934CKAA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087987CKH0,Hermès,US,refresh_2026-09-07_us,H087987CKH0,Videpoches,Hermès Videpoches bag,crossbody,crossbody,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/hermes-videpoches-bag-H087987CKH0/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086717CKAH,Hermès,US,refresh_2026-09-07_us,H086717CKAH,Neo Garden,Neo Garden Voyage 41 bag,tote/shopper,tote,41,mixed_textile_leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAH/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H084948CK89,Hermès,US,refresh_2026-09-07_us,H084948CK89,En Piste,En Piste clutch,evening/mini,clutch,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/en-piste-clutch-H084948CK89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
LV-US-M27242,Louis Vuitton,US,refresh_2026-09-07_us,M27242,Wallet On Chain Trotter,Wallet On Chain Trotter,small-leather-goods,small-leather-goods,small,textile,not_disclosed,numeric,sensitivity_only,woc_or_small_leather_goods;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/wallet-on-chain-trotter-monogram-nvprod7960004v/M27242,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M13567,Louis Vuitton,US,refresh_2026-09-07_us,M13567,Pochette Eva,Pochette Eva,small-leather-goods,small-leather-goods,small,textile,not_disclosed,numeric,sensitivity_only,woc_or_small_leather_goods;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/pochette-eva-monogram-nvprod6380091v/M13567,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M82766,Louis Vuitton,US,refresh_2026-09-07_us,M82766,Pochette Accessoires,Pochette Accessoires,small-leather-goods,small-leather-goods,small,textile,not_disclosed,numeric,sensitivity_only,woc_or_small_leather_goods;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/pochette-accessoires-monogram-nvprod4710018v/M82766,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M81896,Louis Vuitton,US,refresh_2026-09-07_us,M81896,Pochette Félicie,Pochette Félicie,small-leather-goods,small-leather-goods,small,textile,not_disclosed,numeric,sensitivity_only,woc_or_small_leather_goods;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/felicie-pochette-monogram-nvprod4400082v/M81896,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A366,Louis Vuitton,US,refresh_2026-09-07_us,M2A366,All In,All In BB,shoulder,shoulder,BB,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/low-key-all-in-bb-h31-nvprod6520136v/M2A366,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A467,Louis Vuitton,US,refresh_2026-09-07_us,M2A467,Neverfull,Neverfull Inside Out BB,tote/shopper,tote,BB,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/neverfull-bandouliere-inside-out-bb-h33-nvprod5770174v/M2A467,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A323,Louis Vuitton,US,refresh_2026-09-07_us,M2A323,Low Key,Hobo,shoulder,hobo,PM,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M28354,Louis Vuitton,US,refresh_2026-09-07_us,M28354,Neverfull,Neverfull Inside Out MM,tote/shopper,tote,MM,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/neverfull-inside-out-mm-h33-nvprod5770173v/M28354,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A711,Louis Vuitton,US,refresh_2026-09-07_us,M2A711,CarryAll,Nano CarryAll,evening/mini,mini,nano,textile,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/nano-carryall-monogram-nvprod7890133v/M2A711,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46203,Louis Vuitton,US,refresh_2026-09-07_us,M46203,CarryAll,CarryAll PM,tote/shopper,tote,PM,textile,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M45832,Louis Vuitton,US,refresh_2026-09-07_us,M45832,Boulogne,Boulogne PM,shoulder,shoulder,PM,textile,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/boulogne-pm-monogram-nvprod2900152v/M45832,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46049,Louis Vuitton,US,refresh_2026-09-07_us,M46049,Diane,Diane,shoulder,shoulder,unknown,textile,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/diane-monogram-nvprod3400009v/M46049,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A126,Louis Vuitton,US,refresh_2026-09-07_us,M2A126,Alma,Alma BB,top-handle,top-handle,BB,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-empreinte-nvprod6890001v/M2A126,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M29977,Louis Vuitton,US,refresh_2026-09-07_us,M29977,Speedy,Speedy Bandoulière 20,top-handle,top-handle,20,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-20-nvprod3160023v/M29977,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A335,Louis Vuitton,US,refresh_2026-09-07_us,M2A335,Diane,Diane,shoulder,shoulder,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/diane-monogram-empreinte-nvprod6150009v/M2A335,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M2A011,Louis Vuitton,US,refresh_2026-09-07_us,M2A011,Madeleine,Nano Madeleine,evening/mini,mini,nano,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/nano-madeleine-monogram-empreinte-nvprod5890028v/M2A011,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46990,Louis Vuitton,US,refresh_2026-09-07_us,M46990,Alma,Alma BB,top-handle,top-handle,BB,textile,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-nvprod5190086v/M46990,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46784,Louis Vuitton,US,refresh_2026-09-07_us,M46784,High Rise,High Rise,crossbody,bumbag,unknown,textile,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://us.louisvuitton.com/eng-us/products/high-rise-monogram-nvprod4690067v/M46784,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M46987,Louis Vuitton,US,refresh_2026-09-07_us,M46987,Neverfull,Neverfull MM,tote/shopper,tote,MM,textile,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/neverfull-mm-monogram-nvprod5350101v/M46987,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
LV-US-M13039,Louis Vuitton,US,refresh_2026-09-07_us,M13039,Speedy,Speedy Bandoulière 20,top-handle,top-handle,20,textile,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-20-monogram-nvprod6150004v/M13039,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name; regular/seasonal marker not disclosed; color was not exposed in the extracted detail DOM."
DI-US-M1409OHST_M911,Dior,US,refresh_2026-09-07_us,M1409OHST_M911,Dior Promenade,Medium Dior Promenade Shopping Bag,tote/shopper,tote,medium,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1409OHST_M911,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OHST_M911,Dior,US,refresh_2026-09-07_us,M1410OHST_M911,Dior Promenade,Small Dior Promenade Shopping Bag,tote/shopper,tote,small,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1410OHST_M911,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OHSU_M12E,Dior,US,refresh_2026-09-07_us,M1410OHSU_M12E,Dior Promenade,Small Dior Promenade Shopping Bag,tote/shopper,tote,small,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1410OHSU_M12E,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410PHSU_M57G,Dior,US,refresh_2026-09-07_us,M1410PHSU_M57G,Dior Promenade,Small Dior Promenade Shopping Bag,tote/shopper,tote,small,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1410PHSU_M57G,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1409OHST_M16E,Dior,US,refresh_2026-09-07_us,M1409OHST_M16E,Dior Promenade,Medium Dior Promenade Shopping Bag,tote/shopper,tote,medium,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1409OHST_M16E,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1409OTZQ_M928,Dior,US,refresh_2026-09-07_us,M1409OTZQ_M928,Dior Promenade,Medium Dior Promenade Shopping Bag,tote/shopper,tote,medium,mixed_textile_leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1409OTZQ_M928,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OTZQ_M928,Dior,US,refresh_2026-09-07_us,M1410OTZQ_M928,Dior Promenade,Small Dior Promenade Shopping Bag,tote/shopper,tote,small,mixed_textile_leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1410OTZQ_M928,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M1410OHSV_M71I,Dior,US,refresh_2026-09-07_us,M1410OHSV_M71I,Dior Promenade,Small Dior Promenade Shopping Bag,tote/shopper,tote,small,mixed_textile_leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M1410OHSV_M71I,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M42R,Dior,US,refresh_2026-09-07_us,M2867ODKZ_M42R,Dior Toujours,Small Dior Toujours Hobo Bag,shoulder,hobo,small,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M42R,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODKZ_M900,Dior,US,refresh_2026-09-07_us,M2867ODKZ_M900,Dior Toujours,Small Dior Toujours Hobo Bag,shoulder,hobo,small,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M900,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
DI-US-M2867ODUN_M68M,Dior,US,refresh_2026-09-07_us,M2867ODUN_M68M,Dior Toujours,Small Dior Toujours Hobo Bag,shoulder,hobo,small,leather,not_disclosed,unknown,status_pending,regular_special_not_disclosed,conditional_dimension_review,https://www.dior.com/en_us/fashion/products/M2867ODUN_M68M,"Official US detail DOM verified reference, material and name-based size label; numeric dimensions not exposed in visible Size & Fit panel; regular/seasonal marker not disclosed."
