snapshot_id,brand,market,currency,family,accepted_observations,numeric_observations,unique_reference_count,devariant_group_count,price_upon_request_count,unresolved_count,unknown_material_count,scope_note
current_2026-08-15,Louis Vuitton,US,USD,Hang On,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,High Rise,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Liv,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Madeleine,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Marelle,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Multipass,5,5,5,4,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Neverfull,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Speedy,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Squire,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Dior Blooming,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Dior Book Tote,3,3,3,3,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Dior Bow,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Dior Médaillon,3,3,3,3,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Dior Promenade,4,4,4,3,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Dior Toujours,4,3,4,3,0,1,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Diorly,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,FR,EUR,Saddle,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Dior Blooming,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Dior Book Tote,3,1,3,1,0,2,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Dior Bow,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Dior Médaillon,3,1,3,1,0,2,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Dior Promenade,4,4,4,3,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Dior Toujours,4,2,4,2,0,2,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Diorly,2,1,2,1,0,1,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Dior,US,USD,Saddle,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
