source_id,entity,reporting_scope,source_type,source_title,source_url,publication_date,official_or_secondary,page_or_section,notes
HM-FY21,Hermès,group_and_métier,official_urd,Hermès 2021 Universal Registration Document,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2022-04/1650894186/HERMES-URD2021-EN_03.pdf,2022-04-08,official,p. 371 / revenue and activity by métier,"2021 group and Leather Goods & Saddlery revenue, mix and current / constant growth; FY2022 release supplies group profitability and investment comparatives."
HM-FY22,Hermès,group_and_métier,official_financial_release,Hermès 2022 Full-Year Results,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2023-02/1676575550/hermes_20230217_pr_2022fullyearresults_va.pdf,2023-02-17,official,"pp. 1, 5–6 / results and key figures","2022 group and Leather Goods & Saddlery revenue, growth, recurring operating income, margin, investments and adjusted free cash flow."
HM-FY23,Hermès,group_and_métier,official_financial_release,Hermès 2023 Full-Year Results,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2024-02/1707422069/hermes_20240209_pr_2023fullyearresults_va.pdf,2024-02-09,official,"pp. 1–3, 5–7 / results, investments and sector revenue","Leather Goods & Saddlery includes bags, riding, memory holders and small leather goods; 2023 release gives group recurring profitability and investment."
HM-FY24,Hermès,group_and_métier,official_financial_release,Hermès 2024 Full-Year Results,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2025-02/1739475049/hermes_20250214_pr_2024fullyearresults_va.pdf,2025-02-14,official,"pp. 1, 5–7 / results and revenue by sector","2024 Leather Goods & Saddlery revenue and current / constant growth; group profitability, investments and adjusted free cash flow."
HM-FY25,Hermès,group_and_métier,official_financial_release,Hermès 2025 Full-Year Results,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2026-02/1770842738/hermes_20260212_pr_2025fullyearresults_va.pdf,2026-02-12,official,"pp. 1, 5–7 / results and revenue by sector","2025 Leather Goods & Saddlery revenue of €7,070m and group recurring operating margin of 41.0%; PDF query parameters are omitted from the canonical URL."
LVMH-FY20,LVMH,group_and_business_group,official_annual_results,LVMH showed good resilience against the pandemic crisis in 2020,https://www.lvmh.com/en/publications/lvmh-showed-good-resilience-against-the-pandemic-crisis-in-2020,2021-01-26,official,Revenue and profit from recurring operations by business group,"Fashion & Leather Goods segment revenue, reported / organic growth and recurring operating profit; LV and Christian Dior commentary is qualitative."
LVMH-FY21,LVMH,group_and_business_group,official_annual_results,New records for LVMH in 2021,https://www.lvmh.com/en/publications/new-records-for-lvmh-in-2021,2022-01-27,official,Revenue and profit from recurring operations by business group,"Fashion & Leather Goods segment revenue, reported / organic growth and recurring operating profit; multi-brand segment, not standalone brand revenue."
LVMH-FY22,LVMH,group_and_business_group,official_annual_results,New record year for LVMH in 2022,https://www.lvmh.com/en/publications/new-record-year-for-lvmh-in-2022,2023-01-26,official,Revenue and profit from recurring operations by business group,"Fashion & Leather Goods segment revenue, reported / organic growth and recurring operating profit."
LVMH-FY23,LVMH,group_and_business_group,official_annual_results,2023: New record year for LVMH,https://www.lvmh.com/en/publications/2023-new-record-year-for-lvmh,2024-01-25,official,Financial highlights and business-group revenue / profit tables,"Fashion & Leather Goods segment revenue, reported +9%, organic +14%, and recurring operating profit."
LVMH-FY24,LVMH,group_and_business_group,official_annual_results,LVMH achieves a solid performance despite an unfavorable global economic environment,https://www.lvmh.com/en/publications/lvmh-achieves-a-solid-performance-despite-an-unfavorable-global-economic-environment,2025-01-28,official,Financial highlights and Fashion & Leather Goods section,"Fashion & Leather Goods segment revenue, reported -3%, organic -1%, recurring operating profit; commentary attributes profit pressure mainly to FX."
LVMH-FY25,LVMH,group_and_business_group,official_annual_results,Solid performance in a disrupted global economic and geopolitical environment,https://www.lvmh.com/en/publications/solid-performance-in-a-disrupted-global-economic-and-geopolitical-environment,2026-01-27,official,Financial highlights and Fashion & Leather Goods section,"Fashion & Leather Goods segment revenue, reported -8%, organic -5%, recurring operating profit and 35% segment margin."
