market,currency,scenario,band,brand,numeric_observations,share_of_brand_numeric,boundary_definition,denominator_note
FR,EUR,boundary_1_minus10pct,Core,Chanel,2,11.8%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Premium core,Chanel,8,47.1%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,High,Chanel,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Exceptional / icon,Chanel,7,41.2%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Access / lower,Hermès,1,5%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Core,Hermès,6,30%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Premium core,Hermès,9,45%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,High,Hermès,4,20%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Exceptional / icon,Hermès,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Access / lower,Louis Vuitton,9,45%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Core,Louis Vuitton,11,55%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Premium core,Louis Vuitton,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,High,Louis Vuitton,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Exceptional / icon,Louis Vuitton,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Access / lower,Dior,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Core,Dior,19,100%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Premium core,Dior,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,High,Dior,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Exceptional / icon,Dior,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Access / lower,Chanel,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Core,Chanel,2,11.8%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Premium core,Chanel,8,47.1%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,High,Chanel,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Exceptional / icon,Chanel,7,41.2%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Access / lower,Hermès,2,10%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Core,Hermès,5,25%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Premium core,Hermès,9,45%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,High,Hermès,4,20%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Exceptional / icon,Hermès,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Access / lower,Louis Vuitton,15,75%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Core,Louis Vuitton,5,25%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Premium core,Louis Vuitton,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,High,Louis Vuitton,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Exceptional / icon,Louis Vuitton,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Access / lower,Dior,7,36.8%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Core,Dior,12,63.2%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Premium core,Dior,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,High,Dior,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_plus10pct,Exceptional / icon,Dior,0,0%,3300;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Access / lower,Chanel,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Core,Chanel,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Premium core,Chanel,10,58.8%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,High,Chanel,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Exceptional / icon,Chanel,7,41.2%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Access / lower,Hermès,1,5%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Core,Hermès,5,25%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Premium core,Hermès,10,50%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,High,Hermès,4,20%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Exceptional / icon,Hermès,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Access / lower,Louis Vuitton,12,60%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Core,Louis Vuitton,8,40%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Premium core,Louis Vuitton,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,High,Louis Vuitton,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Exceptional / icon,Louis Vuitton,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Access / lower,Dior,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Core,Dior,18,94.7%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Premium core,Dior,1,5.3%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,High,Dior,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_minus10pct,Exceptional / icon,Dior,0,0%,3000;4500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Access / lower,Chanel,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Core,Chanel,3,17.6%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Premium core,Chanel,7,41.2%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,High,Chanel,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Exceptional / icon,Chanel,7,41.2%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Access / lower,Hermès,1,5%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Core,Hermès,9,45%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Premium core,Hermès,6,30%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,High,Hermès,4,20%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Exceptional / icon,Hermès,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Access / lower,Louis Vuitton,12,60%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Core,Louis Vuitton,8,40%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Premium core,Louis Vuitton,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,High,Louis Vuitton,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Exceptional / icon,Louis Vuitton,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Access / lower,Dior,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Core,Dior,19,100%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Premium core,Dior,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,High,Dior,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_2_plus10pct,Exceptional / icon,Dior,0,0%,3000;5500;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Access / lower,Chanel,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Core,Chanel,2,11.8%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Premium core,Chanel,6,35.3%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,High,Chanel,2,11.8%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Exceptional / icon,Chanel,7,41.2%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Access / lower,Hermès,1,5%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Core,Hermès,6,30%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Premium core,Hermès,8,40%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,High,Hermès,5,25%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Exceptional / icon,Hermès,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Access / lower,Louis Vuitton,12,60%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Core,Louis Vuitton,8,40%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Premium core,Louis Vuitton,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,High,Louis Vuitton,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Exceptional / icon,Louis Vuitton,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Access / lower,Dior,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Core,Dior,19,100%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Premium core,Dior,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,High,Dior,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_minus10pct,Exceptional / icon,Dior,0,0%,3000;5000;6300;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Access / lower,Chanel,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Core,Chanel,2,11.8%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Premium core,Chanel,8,47.1%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,High,Chanel,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Exceptional / icon,Chanel,7,41.2%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Access / lower,Hermès,1,5%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Core,Hermès,6,30%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Premium core,Hermès,10,50%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,High,Hermès,3,15%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Exceptional / icon,Hermès,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Access / lower,Louis Vuitton,12,60%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Core,Louis Vuitton,8,40%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Premium core,Louis Vuitton,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,High,Louis Vuitton,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Exceptional / icon,Louis Vuitton,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Access / lower,Dior,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Core,Dior,19,100%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Premium core,Dior,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,High,Dior,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_3_plus10pct,Exceptional / icon,Dior,0,0%,3000;5000;7700;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Access / lower,Chanel,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Core,Chanel,2,11.8%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Premium core,Chanel,8,47.1%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,High,Chanel,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Exceptional / icon,Chanel,7,41.2%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Access / lower,Hermès,1,5%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Core,Hermès,6,30%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Premium core,Hermès,9,45%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,High,Hermès,3,15%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Exceptional / icon,Hermès,1,5%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Access / lower,Louis Vuitton,12,60%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Core,Louis Vuitton,8,40%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Premium core,Louis Vuitton,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,High,Louis Vuitton,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Exceptional / icon,Louis Vuitton,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Access / lower,Dior,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Core,Dior,19,100%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Premium core,Dior,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,High,Dior,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_minus10pct,Exceptional / icon,Dior,0,0%,3000;5000;7000;9000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Access / lower,Chanel,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Core,Chanel,2,11.8%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Premium core,Chanel,8,47.1%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,High,Chanel,6,35.3%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Exceptional / icon,Chanel,1,5.9%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Access / lower,Hermès,1,5%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Core,Hermès,6,30%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Premium core,Hermès,9,45%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,High,Hermès,4,20%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Exceptional / icon,Hermès,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Access / lower,Louis Vuitton,12,60%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Core,Louis Vuitton,8,40%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Premium core,Louis Vuitton,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,High,Louis Vuitton,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Exceptional / icon,Louis Vuitton,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Access / lower,Dior,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Core,Dior,19,100%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Premium core,Dior,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,High,Dior,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_4_plus10pct,Exceptional / icon,Dior,0,0%,3000;5000;7000;11000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
