observation_id,brand,product_name,product_family,official_sku_or_reference,category,subcategory,bag_type,collection,iconic_or_signature_flag,material,color,hardware,dimensions_raw,width_cm,height_cm,depth_cm,size_label,market,country,currency,price,price_status,availability,source_url,observed_at,extraction_method,discovery_source_url,discovered_at
LOUIS_VUITTON-FR-M3A265-20260815,Louis Vuitton,Sac Express PM,Express,M3A265,handbags,handbag,top_handle_bag,,,Monogram Saga Rouge cowhide,red,Gold-tone hardware,26 x 17 x 13.5 cm (Longueur x Hauteur x Largeur),26,17,13.5,PM,FR,France,EUR,3500,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-express-pm-other-leathers-nvprod7890079v/M3A265,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M2A772-20260815,Louis Vuitton,Sac Bundle Trunk,Bundle Trunk,M2A772,handbags,handbag,shoulder_bag,,,Calfskin,black,Gold-tone hardware,22 x 14 x 11 cm (Longueur x Hauteur x Largeur),22,14,11,standard,FR,France,EUR,3200,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/bundle-trunk-other-leathers-nvprod7890062v/M2A772,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A259-20260815,Louis Vuitton,Sac Bundle Trunk,Bundle Trunk,M3A259,handbags,handbag,shoulder_bag,,,Calfskin,Gazon green,Gold-tone hardware,22 x 14 x 11 cm (Longueur x Hauteur x Largeur),22,14,11,standard,FR,France,EUR,3200,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/bundle-trunk-other-leathers-nvprod7890062v/M3A259,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A307-20260815,Louis Vuitton,Sac Side Trunk MM,Side Trunk,M3A307,handbags,handbag,shoulder_bag,,True,Monogram Saga Rouge cowhide,red,Gold-tone hardware,23.5 x 16 x 8.5 cm (Longueur x Hauteur x Largeur),23.5,16,8.5,MM,FR,France,EUR,3600,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/side-trunk-mm-other-leathers-nvprod7890078v/M3A307,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A165-20260815,Louis Vuitton,Sac Speedy Soft 30 G75,Speedy,M3A165,handbags,handbag,top_handle_bag,,True,Private Sage calfskin,green,Gold-tone hardware,21 x 17 x 30 cm (Longueur x Hauteur x Largeur),21,17,30,30,FR,France,EUR,3600,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-speedy-soft-30-g75-nvprod7890171v/M3A165,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M29552-20260815,Louis Vuitton,Sac Express PM,Express,M29552,handbags,handbag,top_handle_bag,,,Raffia-effect textile,natural,Gold-tone hardware,26 x 17 x 13.5 cm (Longueur x Hauteur x Largeur),26,17,13.5,PM,FR,France,EUR,3700,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-express-pm-nvprod7890039v/M29552,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A842-20260815,Louis Vuitton,Sac Alma BB,Alma,M3A842,handbags,handbag,top_handle_bag,,True,Private Sage leather,green,Gold-tone hardware,23.5 x 17.5 x 11.5 cm (Longueur x Hauteur x Largeur),23.5,17.5,11.5,BB,FR,France,EUR,2800,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/alma-bb-other-leathers-nvprod7890071v/M3A842,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M2A038-20260815,Louis Vuitton,Sac Speedy Bandoulière 25,Speedy,M2A038,handbags,handbag,top_handle_bag,,True,Monogram Dune canvas,Monogram Dune,Gold-tone hardware,26 x 19 x 15 cm (Longueur x Hauteur x Largeur),26,19,15,25,FR,France,EUR,3200,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-speedy-soft-25-lv-crafty-autres-toiles-monogram-nvprod7890058v/M2A038,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M2A099-20260815,Louis Vuitton,Sac Speedy Bandoulière 20,Speedy,M2A099,handbags,handbag,top_handle_bag,,True,Monogram Empreinte embossed cowhide,Link Quartz,Silver-tone hardware,20.5 x 13.5 x 12 cm (Longueur x Hauteur x Largeur),20.5,13.5,12,20,FR,France,EUR,2400,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-speedy-bandouliere-20-monogram-empreinte-nvprod7890054v/M2A099,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M29976-20260815,Louis Vuitton,Cabas OnTheGo PM,OnTheGo,M29976,handbags,handbag,tote,,,Monogram Empreinte embossed cowhide,Link Quartz,Silver-tone hardware,25 x 19 x 11.5 cm (Longueur x Hauteur x Largeur),25,19,11.5,PM,FR,France,EUR,2900,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/cabas-onthego-pm-monogram-empreinte-nvprod7890052v/M29976,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M28613-20260815,Louis Vuitton,Marelle,Marelle,M28613,handbags,handbag,shoulder_bag,,,Monogram coated canvas,Monogram,Gold-tone hardware,11 x 6.1 x 2.8 in (Length x Height x Width),27.94,15.49,7.11,standard,US,United States,USD,2890,numeric,available_online,https://us.louisvuitton.com/eng-us/products/marelle-monogram-nvprod7890174v/M28613,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M47031-20260815,Louis Vuitton,Hang On,Hang On,M47031,handbags,handbag,bowling,,,Monogram coated canvas,Monogram,Gold-tone hardware,10.2 x 4.5 x 2.6 in (Length x Height x Width),25.91,11.43,6.6,standard,US,United States,USD,2850,numeric,available_online,https://us.louisvuitton.com/eng-us/products/hang-on-monogram-nvprod6720005v/M47031,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M28953-20260815,Louis Vuitton,Squire East West,Squire,M28953,handbags,handbag,top_handle_bag,,,Monogram coated canvas,Monogram,Gold-tone hardware,11.4 x 5.5 x 3.1 in (Length x Height x Width),28.96,13.97,7.87,east_west,US,United States,USD,2470,numeric,available_online,https://us.louisvuitton.com/eng-us/products/squire-east-west-monogram-nvprod7310168v/M28953,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M28951-20260815,Louis Vuitton,Squire PM,Squire,M28951,handbags,handbag,top_handle_bag,,,Monogram coated canvas,Monogram,Gold-tone hardware,11.8 x 7.9 x 3.9 in (Length x Height x Width),29.97,20.07,9.91,PM,US,United States,USD,2860,numeric,available_online,https://us.louisvuitton.com/eng-us/products/squire-pm-monogram-nvprod7310167v/M28951,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M46784-20260815,Louis Vuitton,High Rise,High Rise,M46784,handbags,handbag,other,,,Monogram coated canvas,Monogram,Gold-tone hardware,13.6 x 6.3 x 3 in (Length x Height x Width),34.54,16.0,7.62,standard,US,United States,USD,2020,numeric,available_online,https://us.louisvuitton.com/eng-us/products/high-rise-monogram-nvprod4690067v/M46784,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M28426-20260815,Louis Vuitton,Nano Madeleine,Madeleine,M28426,handbags,handbag,crossbody,,,Monogram coated canvas,Monogram,Gold-tone hardware,9.1 x 5.1 x 2.6 in (Length x Height x Width),23.11,12.95,6.6,nano,US,United States,USD,2170,numeric,available_online,https://us.louisvuitton.com/eng-us/products/nano-madeleine-monogram-nvprod7530021v/M28426,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M46990-20260815,Louis Vuitton,Alma BB,Alma,M46990,handbags,handbag,top_handle_bag,,True,Monogram coated canvas,Monogram,Gold-tone hardware,9.3 x 6.9 x 4.5 in (Length x Height x Width),23.62,17.53,11.43,BB,US,United States,USD,2000,numeric,available_online,https://us.louisvuitton.com/eng-us/products/alma-bb-monogram-nvprod5190086v/M46990,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M46987-20260815,Louis Vuitton,Neverfull MM,Neverfull,M46987,handbags,handbag,tote,,True,Monogram coated canvas,Monogram,Gold-tone hardware,18.5 x 11 x 5.5 in (Length x Height x Width),46.99,27.94,13.97,MM,US,United States,USD,2240,numeric,available_online,https://us.louisvuitton.com/eng-us/products/neverfull-mm-monogram-nvprod5350101v/M46987,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M29099-20260815,Louis Vuitton,Multipass Mini,Multipass,M29099,handbags,handbag,crossbody,,True,Monogram coated canvas,Monogram,Gold-tone hardware,6.9 x 7.1 x 3.7 in (Length x Height x Width),17.53,18.03,9.4,mini,US,United States,USD,2230,numeric,available_online,https://us.louisvuitton.com/eng-us/products/multipass-mini-monogram-nvprod7890075v/M29099,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M2A840-20260815,Louis Vuitton,Multipass Mini,Multipass,M2A840,handbags,handbag,crossbody,,True,Calfskin leather,black,Gold-tone hardware,6.9 x 7.1 x 3.7 in (Length x Height x Width),17.53,18.03,9.4,mini,US,United States,USD,2480,numeric,available_online,https://us.louisvuitton.com/eng-us/products/multipass-mini-other-leathers-nvprod7890076v/M2A840,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M3A389-20260815,Louis Vuitton,Multipass Mini,Multipass,M3A389,handbags,handbag,crossbody,,True,Textile / Other Canvas,Silver Blue,Gold-tone hardware,6.9 x 7.1 x 3.7 in (Length x Height x Width),17.53,18.03,9.4,mini,US,United States,USD,2480,numeric,available_online,https://us.louisvuitton.com/eng-us/products/multipass-mini-nvprod7890081v/M3A389,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M3A247-20260815,Louis Vuitton,Multipass Mini,Multipass,M3A247,handbags,handbag,crossbody,,True,Fashion Leather,Monogram Rouge,Gold-tone hardware,6.9 x 7.1 x 3.7 in (Length x Height x Width),17.53,18.03,9.4,mini,US,United States,USD,2480,numeric,available_online,https://us.louisvuitton.com/eng-us/products/multipass-mini-other-leathers-nvprod7890076v/M3A247,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M2A078-20260815,Louis Vuitton,Multipass,Multipass,M2A078,handbags,handbag,shoulder_bag,,True,Monogram Dune coated canvas,Monogram Dune,Gold-tone hardware,11.8 x 10.2 x 3.9 in (Length x Height x Width),29.97,25.91,9.91,standard,US,United States,USD,2850,numeric,available_online,https://us.louisvuitton.com/eng-us/products/multipass-monogram-nvprod7770009v/M2A078,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M2A038-20260815,Louis Vuitton,Speedy Bandoulière 25,Speedy,M2A038,handbags,handbag,top_handle_bag,,True,Monogram Dune canvas,Monogram Dune,Gold-tone hardware,10.2 x 7.5 x 5.9 in (Length x Height x Width),25.91,19.05,14.99,25,US,United States,USD,4150,numeric,available_online,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-25-autres-toiles-monogram-nvprod7890058v/M2A038,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M29537-20260815,Louis Vuitton,Nano Frivole,Frivole,M29537,handbags,handbag,crossbody,,,Monogram coated canvas,Monogram,Gold-tone hardware,9.4 x 5.1 x 3.1 in (Length x Height x Width),23.88,12.95,7.87,nano,US,United States,USD,2210,numeric,available_online,https://us.louisvuitton.com/eng-us/products/nano-frivole-monogram-nvprod7830229v/M29537,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M83008-20260815,Louis Vuitton,Pochette Liv,Liv,M83008,handbags,handbag,shoulder_bag,,,Monogram coated canvas,Monogram,Gold-tone hardware,8.7 x 5.7 x 2.8 in (Length x Height x Width),22.1,14.48,7.11,standard,US,United States,USD,1950,numeric,available_online,https://us.louisvuitton.com/eng-us/products/liv-pochette-monogram-nvprod5200009v/M83008,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M46049-20260815,Louis Vuitton,Diane,Diane,M46049,handbags,handbag,shoulder_bag,,,Monogram coated canvas,Monogram,Gold-tone hardware,10.2 x 7.5 x 3.9 in (Length x Height x Width),25.91,19.05,9.91,standard,US,United States,USD,2700,numeric,available_online,https://us.louisvuitton.com/eng-us/products/diane-monogram-nvprod3400009v/M46049,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M46203-20260815,Louis Vuitton,CarryAll PM,CarryAll,M46203,handbags,handbag,tote,,,Monogram coated canvas,Monogram,Gold-tone hardware,11.4 x 9.4 x 4.7 in (Length x Height x Width),28.96,23.88,11.94,PM,US,United States,USD,2940,numeric,available_online,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M11945-20260815,Louis Vuitton,Speedy Soft 30 Crafty,Speedy,M11945,handbags,handbag,top_handle_bag,,True,Monogram coated canvas,Monogram Red,Gold-tone hardware,11.8 x 8.3 x 6.7 in (Length x Height x Width),29.97,21.08,17.02,30,US,United States,USD,3550,numeric,available_online,https://us.louisvuitton.com/eng-us/products/speedy-soft-30-crafty-monogram-nvprod5790344v/M11945,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-US-M45832-20260815,Louis Vuitton,Boulogne PM,Boulogne,M45832,handbags,handbag,shoulder_bag,,,Monogram coated canvas,Monogram,Gold-tone hardware,11.8 x 7.5 x 3.9 in (Length x Height x Width),29.97,19.05,9.91,PM,US,United States,USD,2700,numeric,available_online,https://us.louisvuitton.com/eng-us/products/boulogne-pm-monogram-nvprod2900152v/M45832,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://us.louisvuitton.com/eng-us/women/handbags/all-handbags/_/N-tfr7qdp,2026-08-15T20:20:39+08:00
